Person Doing ID,Date,Plot,Site,Replicate,Habitat,replicate,L,N ,A,Field notes,IPAC_L,IPAC_N,IPAC_A ,DEOC_L,DEOC_N,DEOC_A ,DEVA_L,DEVA_N,DEVA_A ,HELP_L,HELP_N,HELP_A,ISPIN_L,ISPIN_N,ISPINA,site,canopy,canopy  %,leaf litter,grass height,Plot.label,nymph_count,infected_nymphs
,5/17/24,CCSP4B0,CCSP,4,edge,B,6,0,5,,6,0,3,0,0,2,0,0,0,0,0,0,0,0,0,CCSP4B0,76.6,79.664,4.4,17.6,CC4B0,0,0
,5/17/24,CCSP4B20,CCSP,4,exterior,B,0,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,CCSP4B+20,0,0,0,33.6,CC4B20,0,0
,4/9/24,EW1A-20,EW,1,interior,A,43,5,1,,43,5,0,0,0,1,0,0,0,0,0,0,0,0,0,EW1A-20,94.6,98.384,7.4,0,EW1A-20,5,0
,4/3/24,EW1A0,EW,1,edge,A,54,8,0,,54,8,0,0,0,0,0,0,0,0,0,0,0,0,0,EW1A0,45.2,47.008,0.4,19.7,EW1A0,8,0
,4/3/24,EW1A20,EW,1,exterior,A,0,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,EW1A+20,3.74,3.8896,0,29.2,EW1A20,0,0
,4/16/24,EW1B-20,EW,1,interior,B,51,1,0,,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,EW1B-20,90.6,94.224,4.6,0,EW1B-20,1,0
,4/9/24,EW1B0,EW,1,edge,B,34,0,1,,34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,EW1B0,48,49.92,1.6,20.6,EW1B0,0,0
,4/9/24,EW1B20,EW,1,exterior,B,0,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,EW1B+20,0,0,0,25.4,EW1B20,0,0
,4/10/24,EW1C-20,EW,1,interior,C,23,1,0,,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,EW1C-20,93,96.72,6.2,2,EW1C-20,1,0
,4/10/24,EW1C0,EW,1,edge,C,5,1,4,,5,1,0,0,0,4,0,0,0,0,0,0,0,0,0,EW1C0,54.4,56.576,3,18.8,EW1C0,1,0
,4/10/24,EW1C20,EW,1,exterior,C,0,0,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,EW1C+20,0,0,0,29.8,EW1C20,0,0
,4/17/24,EW2A-20,EW,2,interior,A,31,8,0,,31,8,0,0,0,0,0,0,0,0,0,0,0,0,0,EW2A-20,93.2,96.928,4.4,0,EW2A-20,8,0
,4/16/24,EW2A0,EW,2,edge,A,35,1,2,,35,1,1,0,0,1,0,0,0,0,0,0,0,0,0,EW2A0,39,40.56,1.2,22.8,EW2A0,1,0
,4/16/24,EW2A20,EW,2,exterior,A,0,0,2,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,EW2A+20,0,0,0,36.2,EW2A20,0,0
,4/24/24,EW2B-20,EW,2,interior,B,18,6,0,,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,EW2B-20,93.6,97.344,7.2,0,EW2B-20,6,0
,4/17/24,EW2B0,EW,2,edge,B,2,4,0,,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,EW2B0,93.4,97.136,6.3,11.8,EW2B0,4,0
,4/17/24,EW2B20,EW,2,exterior,B,4,1,1,,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,EW2B+20,0,0,0,36.2,EW2B20,1,0
,4/19/24,EW3A-20,EW,3,interior,A,12,1,0,,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,EW3A-20,90.8,94.432,10.6,0,EW3A-20,0,0
,4/19/24,EW3A0,EW,3,edge,A,10,5,2,,10,5,0,0,0,2,0,0,0,0,0,0,0,0,0,EW3A0,70,72.8,2,13,EW3A0,5,0
,4/19/24,EW3A20,EW,3,exterior,A,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EW3A+20,0,0,0,29.2,EW3A20,0,0
,4/23/24,EW3B-20,EW,3,interior,B,34,2,0,,34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,EW3B-20,90.6,94.224,9.6,4,EW3B-20,2,0
,4/23/24,EW3B0,EW,3,edge,B,3,0,1,,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,EW3B0,81.4,84.656,2.5,17.6,EW3B0,0,0
,4/23/24,EW3B20,EW,3,exterior,B,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EW3B+20,0,0,0,25.4,EW3B20,0,0
,5/21/24,MMWD1A-20,MTW,1,interior,A,20,7,0,,20,6,0,0,1,0,0,0,0,0,0,0,0,0,0,MMWD1A-20,89.4,92.976,6.2,0,MWD1A-20,6,1
,5/21/24,MMWD1A0,MTW,1,edge,A,55,5,1,,55,5,1,0,0,0,0,0,0,0,0,0,0,0,0,MMWD1A0,25.4,26.416,1.8,13.2,MWD1A0,5,0
,5/21/24,MMWD1A20,MTW,1,exterior,A,0,0,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MMWD1A+20,0,0,0,36,MWD1A20,0,0
,5/22/24,MMWD1B-20,MTW,1,interior,B,99,1,0,,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,MMWD1B-20,90.2,93.808,4.2,0,MWD1B-20,1,1
,5/22/24,MMWD1B0,MTW,1,edge,B,14,0,0,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MMWD1B0,74.2,77.168,3.3,29,MWD1B0,0,0
,5/22/24,MMWD1B20,MTW,1,exterior,B,0,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,MMWD1B+20,0,0,0,43.2,MWD1B20,0,0
,5/23/24,MMWD2A-20,MTW,2,interior,A,197,11,1,,196,10,1,1,0,0,0,0,0,0,0,0,0,1,0,MMWD2A-20,92.2,95.888,3.7,0,MWD2A-20,10,1
,5/23/24,MMWD2A0,MTW,2,edge,A,6,3,0,,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,MMWD2A0,77.2,80.288,3.4,28.6,MWD2A0,3,1
,5/23/24,MMWD2A20,MTW,2,exterior,A,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MMWD2A+20,0,0,0,21,MWD2A20,0,0
,5/24/24,MMWD2B-20,MTW,2,interior,B,40,11,0,,40,11,0,0,0,0,0,0,0,0,0,0,0,0,0,MMWD2B-20,81.6,84.864,3.6,24.4,MWD2B-20,11,0
,5/24/24,MMWD2B0,MTW,2,edge,B,2,0,1,,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,MMWD2B0,75.8,78.832,2.7,57,MWD2B0,0,0
,5/24/24,MMWD2B20,MTW,2,exterior,B,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MMWD2B+20,0,0,0,26.2,MWD2B20,0,0
,5/26/24,MMWD3A-20,MTW,3,interior,A,22,10,0,,22,10,0,0,0,0,0,0,0,0,0,0,0,0,0,MMWD3A-20,91.8,95.472,3,0,MWD3A-20,10,2
,5/26/24,MMWD3A0,MTW,3,edge,A,7,2,0,,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,MMWD3A0,58.6,60.944,2.2,37.6,MWD3A0,2,0
,5/26/24,MMWD3A20,MTW,3,exterior,A,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MMWD3A+20,5.2,5.408,0,40,MWD3A20,0,0
,5/26/24,MMWD3B-20,MTW,3,interior,B,69,4,0,,69,4,0,0,0,0,0,0,0,0,0,0,0,0,0,MMWD3B-20,87.4,90.896,4.6,0,MWD3B-20,4,1
,5/26/24,MMWD3B0,MTW,3,edge,B,4,2,0,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,MMWD3B0,63.8,66.352,0.6,53,MWD3B0,2,0
,5/26/24,MMWD3B20,MTW,3,exterior,B,0,0,3,,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,MMWD3B+20,0,0,0,30.6,MWD3B20,0,0
